file_name,text
357.png,Attila the Hun (c.406-453) and his hordes overrunning Italy and the Arts by Eugene Delacroix
361.png,St Michael defeats the Devil by Eugene Delacroix
362.png,Arab Saddling his Horse 1855 by Eugene Delacroix
363.png,Liberty Leading the People by Eugene Delacroix
364.png,Christ on the Lake of Gennesaret by Eugene Delacroix
365.png,Jacob Wrestling with the Angel (detail) 1854-61 by Eugene Delacroix
369.png,Apollo Vanquishing The Python by Eugene Delacroix
371.png,Greece on the Ruins of Missolonghi by Eugene Delacroix
372.png,The Barque of Dante 1822 by Eugene Delacroix
374.png,Winter -- Juno and Aeolus by Eugene Delacroix
381.png,Horse Carriage by Henri De Toulouse-Lautrec
393.png,Evening Shower Paris by Henri De Toulouse-Lautrec
400.png,The Drunken Hercules c. 1611 by Peter Paul Rubens
401.png,Angelica and the Hermit 1630s by Peter Paul Rubens
402.png,Head Of Medusa by Peter Paul Rubens
403.png,Diana and her Nymphs Surprised by the Fauns (detail-2) 1638-40 by Peter Paul Rubens
406.png,Lion Hunt c. 1621 by Peter Paul Rubens
408.png,Fall Of The Rebel Angels by Peter Paul Rubens
409.png,The Judgment of Paris c. 1625 by Peter Paul Rubens
410.png,A Forest at Dawn with Deer Hunt by Peter Paul Rubens
411.png,Diana and her Nymphs Surprised by the Fauns (detail-1) 1638-40 by Peter Paul Rubens
412.png,Descent From The Cross by Peter Paul Rubens
413.png,St George Fighting the Dragon 1606-10 by Peter Paul Rubens
414.png,The Assumption of Mary 1620-22 by Peter Paul Rubens
416.png,The Elevation Of The Cross by Peter Paul Rubens
417.png,The Fall of Phaeton 1605 by Peter Paul Rubens
418.png,Laocoon And His Sons by Peter Paul Rubens
419.png,Battle of the Amazons 1618 by Peter Paul Rubens
420.png,The Last Supper by Peter Paul Rubens
421.png,The Abduction of Ganymede 1611-12 by Peter Paul Rubens
422.png,The Departure of Lot and his Family from Sodom by Peter Paul Rubens
423.png,The Prophet Elijah Receiving Bread and Water from an Angel 1625-28 by Peter Paul Rubens
424.png,The Village Fete (Flemish Kermis) 1635-38 by Peter Paul Rubens
429.png,"Boulevard Montmartre, Afternoon Sun, 1897 by Camille Pissarro"
437.png,The Port of Le Havre - High Tide by Camille Pissarro
438.png,"Vegetable Garden at the Hermitage, Pontoise, 1879 by Camille Pissarro"
445.png,"Girl Tending a Cow in Pasture, 1874 by Camille Pissarro"
454.png,Apple Trees At L Hermitage by Paul Gauguin
475.png,The Bar at the Folies Bergere 1882 by Edouard Manet
478.png,Still Life with Fish by Edouard Manet
482.png,Berthe Morisot Holding a Bunch of Violets 1872 by Edouard Manet
485.png,Argenteuil by Edouard Manet
487.png,Luncheon on the Grass by Edouard Manet
490.png,At The Races by Edouard Manet
493.png,Boating 1874 by Edouard Manet
508.png,"Colosseum and Arch of Constantine, Rome by Canaletto"
528.png,A Boat Passing a Lock 2 by John Constable
531.png,Flatford Mill (detail) 1817 by John Constable
537.png,A Water Mill by John Constable
541.png,"Branch Hill Pond, Hampstead Heath, 1828 by John Constable"
544.png,A Country road with trees and figures by John Constable
547.png,Stratford Mill by John Constable
558.png,Christ Crowned with Thorns c. 1542 by Tiziano Vecellio
560.png,Feast of the Gods by Tiziano Vecellio
561.png,Girl with a Basket of Fruits (Lavinia) 1555-58 by Tiziano Vecellio
563.png,Bacchanal by Tiziano Vecellio
566.png,Danae (2) 1554 by Tiziano Vecellio
572.png,The Flaying of Marsyas 1575-76 by Tiziano Vecellio
588.png,"Jockeys Before the Race, c.1878-79 by Edgar Degas"
604.png,A Cardiff Shipping Lane by Alfred Sisley
606.png,A Path in Louveciennes by Alfred Sisley
607.png,Apple Trees in Bloom by Alfred Sisley
617.png,Village de Voisins by Alfred Sisley
618.png,Flood at Port-Marly IV by Alfred Sisley
619.png,A Normandy Farm by Alfred Sisley
620.png,By the River Loing by Alfred Sisley
621.png,Flood at Port-Marly II 2 by Alfred Sisley
629.png,The Sea Monster by Albrecht Durer
630.png,Abduction Of Proserpine On A Unicorn by Albrecht Durer
637.png,Witch Riding Backwards On A Goat by Albrecht Durer
638.png,Agony in the Garden 2 by Albrecht Durer
639.png,St Michaels Fight Against The Dragon by Albrecht Durer
642.png,The Death Of Orpheus by Albrecht Durer
643.png,St George On Horseback by Albrecht Durer
644.png,The Dragon with Seven Heads by Albrecht Durer
680.png,Autumn Tree With Fuchsias by Egon Schiele
701.png,Napoleon Crossing the Alps by Jacques Louis David
715.png,Oath of the Horatii by Jacques Louis David
718.png,The Combat of Mars and Minerva 1771 by Jacques Louis David
720.png,Brutus by Jacques Louis David
721.png,Deputies swearing oaths 1791 by Jacques Louis David
722.png,The Lictors Bring to Brutus the Bodies of His Sons (detail) by Jacques Louis David
730.png,Baby Reaching For An Apple Aka Child Picking Fruit by Mary Cassatt
751.png,Last Supper 1320-25 by Giotto Di Bondone
753.png,Last Judgment (detail 14) 1306 by Giotto Di Bondone
758.png,No. 36 Scenes from the Life of Christ- 20. Lamentation (The Mourning of Christ) 1304-06 by Giotto Di Bondone
777.png,At the Ball 1875 by Berthe Morisot
869.png,Un Torrent Des Abruzzes by Jean-Baptiste-Camille Corot
937.png,Richard Gallo And His Dog At Petit Gennevilliers by Gustave Caillebotte
946.png,Boaters On The Yerres by Gustave Caillebotte
948.png,Roses Garden At Petit Gennevilliers by Gustave Caillebotte
992.png,Apple blossoms by George Inness
1004.png,La pesca del atun - Ayamonte (The Tuna Catch - Ayamonte) by Joaquin Sorolla y Bastida
1015.png,Girls with flowers by Joaquin Sorolla y Bastida
1026.png,Allegory Of Spring La Primavera by Sandro Botticelli
1028.png,The Punishment of Korah and the Stoning of Moses and Aaron (detail 2) 1481-82 by Sandro Botticelli
1030.png,La Primavera (Allegory of Spring) by Sandro Botticelli
1031.png,"Inferno, Canto XVIII 1480s by Sandro Botticelli"
1035.png,Agony in the Garden c. 1500 by Sandro Botticelli
1038.png,Lamentation over the Dead Christ with Saints c. 1490 by Sandro Botticelli
1041.png,"Inferno, Canto XXXIV (detail) 1480s by Sandro Botticelli"
1043.png,The Virgin and Child with Four Angels and Six Saints (Pala di San Barnaba) 1488 by Sandro Botticelli
1049.png,Adoration of the Magi c. 1475 by Sandro Botticelli
1052.png,Agony in the Garden c. 1465 by Giovanni Bellini
1053.png,"Pesaro Altarpiece, detail of the predella featuring St. George Fighting the Dragon 1470s by Giovanni Bellini"
1064.png,Madonna and Child with Four Saints and Donator 1507 by Giovanni Bellini
1067.png,The Feast of the Gods 1514 by Giovanni Bellini
1070.png,San Giobbe Altarpiece (detail) by Giovanni Bellini
1072.png,"Calvary, c.1465-70 by Giovanni Bellini"
1075.png,A Cherub Carrying Flowers (2) by Annibale Carracci
1078.png,Triumph of Bacchus and Ariadne (Trionfo di Bacco e Arianna) by Annibale Carracci
1082.png,The Sleep of Venus by Annibale Carracci
1086.png,Domine quo vadis 1601-02 by Annibale Carracci
1088.png,"The Bean Eater, c.1583-84 by Annibale Carracci"
1089.png,Rest on Flight into Egypt c. 1600 by Annibale Carracci
1092.png,Venus and Adonis c. 1595 by Annibale Carracci
1094.png,"Portrait of a Man Drinking, c.1581-84 by Annibale Carracci"
1095.png,Allegory river by Annibale Carracci
1096.png,Saint John The Baptist In A Landscape Pointing At The Figure Of Christ by Annibale Carracci
1097.png,Triumph of Bacchus and Ariadne (detail) by Annibale Carracci
1103.png,"Flowers in a Basket, 1863 by Gustave Courbet"
1106.png,"The Stone Breakers, 1849 by Gustave Courbet"
1118.png,Chateau du Chillon I by Gustave Courbet
1137.png,The Creation of Adam by Caravaggio
1200.png,"A Fairy Song, from A Midsummer Nights Dream, 1908 by Arthur Rackham"
1201.png,"Brunnhilde Implores the Valkyries, illustration from The Rhinegold and the Valkyrie, by Richard Wagner, edition published 1910 by Arthur Rackham"
1204.png,Illustration from Alices Adventures in Wonderland by Lewis Carroll 1832-98 1907 by Arthur Rackham
1207.png,"Dancing with the Fairies from Peter Pan in Kensington Gardens by J.M. Barrie, 1906 34 Peter Pan in Kensington Gardens by J.M. Barrie Dancing with the Fairies, 1906 by Arthur Rackham"
1209.png,"The Mad Hatters Tea Party, illustration to Alices Adventures in Wonderland by Lewis Carroll 1832-98, 1907 by Arthur Rackham"
1211.png,King Midas by Arthur Rackham
1213.png,"Gold pieces fell down on the cloth illustration to Washing Table, Golden Ass and Cudgel from Fairy Tales of the Brothers Grimm, 1900 by Arthur Rackham"
1214.png,"The Fairies Thing, illustration from A Midsummer Nights Dream, pub. by Heineman, 1908 by Arthur Rackham"
1216.png,"Talking to the Crow from Peter Pan in Kensington Gardens by J.M. Barrie, 1906 by Arthur Rackham"
1217.png,Alice in Wonderland by Arthur Rackham
1218.png,Brunhilde with her horse at the mouth of the cave by Arthur Rackham
1219.png,"The trees and the axe, from Aesops Fables, c.1912 by Arthur Rackham"
1221.png,"Gerda is terrified by the Snow Queens advance guard, but she said Our Father and is rescued by little bright angels, illustration from The Snow Queen by Hans Christian Andersen, published 1932 by Arthur Rackham"
1222.png,"The Bear and the Fox, illustration from Aesops Fables, published by Heinemann, 1912 by Arthur Rackham"
1223.png,"Tattercoats dancing while the gooseherd pipes, illustration from English Fairy Tales, retold by F.A. Steel, published 1918 by Arthur Rackham"
1224.png,"Fairy, illustration from A Midsummer Nights Dream, published by Heinemann, 1908 by Arthur Rackham"
1253.png,Great Explorers 1905 by Frederic Remington
1255.png,Buying Polo Ponies In The West by Frederic Remington
1258.png,A Regimental Scout by Frederic Remington
1260.png,The Cavalry Charge by Frederic Remington
1263.png,A Troop Picket Line Of The Sixth United States Cavalry Camp At Rapid Creek by Frederic Remington
1267.png,Thanksgiving Dinner for the Ranch by Frederic Remington
1270.png,"Dismounted, The Fourth Trooper Moving the Led Horses by Frederic Remington"
1282.png,The Raft of the Medusa 1818-19 by Theodore Gericault
1291.png,The Horse Race by Theodore Gericault
1298.png,The Raft of the Medusa by Theodore Gericault
1307.png,The Fairy Tale (or A Summer Day) by William Merritt Chase
1320.png,"In the Park, Paris by William Merritt Chase"
1328.png,Solders Resting 1850 by John Frederick Herring Snr
1331.png,"A Doe Rabbit and her two young, 1852 by John Frederick Herring Snr"
1333.png,Arabs chasing a loose arab horse in an eastern landscape by John Frederick Herring Snr
1350.png,"Satan, Sin, and Death- Satan Comes to the Gates of Hell by William Blake"
1352.png,"Jerusalem The Emanation of the Giant Albion- plate 76 Albion before Christ crucified on the Tree of Knowledge and Good and Evil, 1804-20 by William Blake"
1356.png,"Oberon, Titania and Puck with Fairies Dancing by William Blake"
1361.png,The Good and Evil Angels struggling for possession of a child by William Blake
1362.png,The Christ Child riding on a Lamb by William Blake
1364.png,The Descent Of Christ by William Blake
1365.png,The Ancient of Days by William Blake
1367.png,"Christ in the Sepulchre, Guarded by Angels by William Blake"
1371.png,"Inferno, Canto VIII, 30-64, Virgil repelling Filippo Argenti from the Boat by William Blake"
1375.png,Landscape with the Fall of Icarus c. 1558 by Pieter the Elder Bruegel
1376.png,The Peasant Dance 1568 by Pieter the Elder Bruegel
1377.png,Christ Carrying the Cross 1564 by Pieter the Elder Bruegel
1381.png,The Conversion of Saul 1567 by Pieter the Elder Bruegel
1383.png,The Slaughter of the Innocents 1565-66 by Pieter the Elder Bruegel
1386.png,The Tower of Babel 1563 by Pieter the Elder Bruegel
1387.png,The Beggars 1568 by Pieter the Elder Bruegel
1388.png,The Census at Bethlehem (detail) 9 by Pieter the Elder Bruegel
1389.png,The Dance around the May Pole by Pieter the Elder Bruegel
1390.png,Hay-Harvest by Pieter the Elder Bruegel
1391.png,Peasant Dance by Pieter the Elder Bruegel
1392.png,The Magpie on the Gallows 1568 by Pieter the Elder Bruegel
1393.png,St James the Greater at Hermogenes 1565 by Pieter the Elder Bruegel
1394.png,The Adoration of the Kings in the Snow 1567 by Pieter the Elder Bruegel
1395.png,Dulle Griet (Mad Meg) c. 1562 by Pieter the Elder Bruegel
1396.png,The Seven Acts of Charity by Pieter the Elder Bruegel
1397.png,Misanthrope by Pieter the Elder Bruegel
1398.png,The Census at Bethlehem by Pieter the Elder Bruegel
1399.png,The Little Tower of Babel c. 1563 by Pieter the Elder Bruegel
1426.png,Psyche And Her Two Sisters by Jean-Honore Fragonard
1433.png,The Swarm of Cupids by Jean-Honore Fragonard
1437.png,The Love Letter 1770s by Jean-Honore Fragonard
1445.png,The Fete at Rambouillet or The Island of Love by Jean-Honore Fragonard
1475.png,"Columbus Avenue, Rainy Day, 1885 by Childe Hassam"
1477.png,A Winter Day on Brooklyn Bridge by Childe Hassam
1478.png,Paris Street Scene 1887 by Childe Hassam
1479.png,"Lower Fifth Avenue, 1890 by Childe Hassam"
1482.png,At the Piano 1908 by Childe Hassam
1483.png,July Night by Childe Hassam
1484.png,Against the Light by Childe Hassam
1487.png,The Manhattan Club (The Stewart Mansion) 1891 by Childe Hassam
1489.png,"Horse Drawn Cabs at Evening, New York, c.1890 by Childe Hassam"
1490.png,Duck Island by Childe Hassam
1491.png,"Indian Summer in Colonial Days, 1899 by Childe Hassam"
1493.png,Flower Girl 1888 by Childe Hassam
1494.png,Newport Waterfront by Childe Hassam
1495.png,"Duck Island, Isles of Shoals, 1906 by Childe Hassam"
1497.png,"Summer Afternoon, Isles of Shoals by Childe Hassam"
1498.png,Geraniums 1888 by Childe Hassam
1516.png,Solitude by Lord Frederick Leighton
1529.png,Dempsey And Firpo Aka Brodies Revenge by George Wesley Bellows
1531.png,The Picnic by George Wesley Bellows
1537.png,Forty Two Kids by George Wesley Bellows
1550.png,Apes in the Kitchen by David The Younger Teniers
1551.png,Twelfth-night (The King Drinks) 1634-40 by David The Younger Teniers
1556.png,"The Feast of the Prodigal Son, 1644 by David The Younger Teniers"
1559.png,A Monkey Encampment by David The Younger Teniers
1561.png,Country Banquet by David The Younger Teniers
1562.png,Witches Preparing for the Sabbat by David The Younger Teniers
1563.png,"A Scene of Sorcery, 1633 by David The Younger Teniers"
1571.png,"A Peasant Wedding, 1648 by David The Younger Teniers"
1573.png,"The Fiddler, 1633 by David The Younger Teniers"
1578.png,Mr and Mrs Andrews (detail) 1750 by Thomas Gainsborough
1579.png,Haymaker and Sleeping Girl (Mushroom Girl) 1785 by Thomas Gainsborough
1583.png,The Market Cart by Thomas Gainsborough
1595.png,Holywells Park Ipswich by Thomas Gainsborough
1599.png,An Officer of the 4th Regiment of Foot by Thomas Gainsborough
1625.png,Holyday (or The Picnic) by James Jacques Joseph Tissot
1627.png,Young Lady Holding Japanese Objects by James Jacques Joseph Tissot
1628.png,Faust And Marguerite In The Garden by James Jacques Joseph Tissot
1629.png,The Terrace Of The Trafalgar Tavern Greenwich London by James Jacques Joseph Tissot
1633.png,October 1877 by James Jacques Joseph Tissot
1634.png,The Plague Of Locusts by James Jacques Joseph Tissot
1636.png,The Princesse De Broglie by James Jacques Joseph Tissot
1637.png,Berthe 1882 by James Jacques Joseph Tissot
1638.png,The Bridesmaid by James Jacques Joseph Tissot
1639.png,The Ball by James Jacques Joseph Tissot
1640.png,Mary Magdalene before Her Conversion by James Jacques Joseph Tissot
1642.png,Type Of Beauty (or Kathleen Newton) by James Jacques Joseph Tissot
1643.png,Quiet by James Jacques Joseph Tissot
1644.png,Behold He Standeth Behind Our Wall by James Jacques Joseph Tissot
1649.png,An Interesting Story by James Jacques Joseph Tissot
1654.png,Arcas and Callisto by Jean-Francois Millet
1662.png,Apple picking by Jean-Francois Millet
1671.png,"The Potato Harvest, 1855 by Jean-Francois Millet"
1674.png,A Shepherdess And Her Flock by Jean-Francois Millet
1675.png,"Archangel Michael Fights Satan, c.1590 by Jacopo Tintoretto"
1676.png,The Capture of Constantinople in 1204 by Jacopo Tintoretto
1677.png,Saint Catherine of Alexandria being whipped in the presence of Emperor Maxentius by Jacopo Tintoretto
1678.png,The Stealing of the Dead Body of St Mark 1562-66 by Jacopo Tintoretto
1679.png,Miracle of the Slave (Miracolo dello schiavo) by Jacopo Tintoretto
1681.png,"Leda and the Swan, c.1570 by Jacopo Tintoretto"
1683.png,"Ariadne, Venus and Bacchus 1576 by Jacopo Tintoretto"
1684.png,The Fall of Manna by Jacopo Tintoretto
1685.png,Creation of the Animals c. 1550 by Jacopo Tintoretto
1686.png,"Saint Roch curing the Plague, c.1560 by Jacopo Tintoretto"
1687.png,The Temptation of Christ (detail) by Jacopo Tintoretto
1688.png,Crucifixion (detail) 1565 by Jacopo Tintoretto
1690.png,Moses Drawing Water from the Rock by Jacopo Tintoretto
1693.png,"Deposition of Christ, late 1550s by Jacopo Tintoretto"
1694.png,"Susanna Bathing, 1555-56 by Jacopo Tintoretto"
1695.png,Paradise by Jacopo Tintoretto
1696.png,The Deliverance of Arsinoe c. 1560 by Jacopo Tintoretto
1697.png,The Crucifixion of Christ by Jacopo Tintoretto
1725.png,Le Petit Dejeuner by Edouard   Vuillard
1728.png,After the Meal. c. 1900 by Edouard   Vuillard
1729.png,"Madame Vuillard Sewing, c.1905 by Edouard   Vuillard"
1735.png,"The Doctor Henri Vaquez (1860-1936) cardiologist, 1924 by Edouard   Vuillard"
1737.png,Self Portrait by Edouard   Vuillard
1744.png,"Portrait of Claude Bernheim de Villers, 1906 by Edouard   Vuillard"
1745.png,Self-Portrait. c. 1889 by Edouard   Vuillard
1746.png,Madame Lucie Hessel et son chien Basto by Edouard   Vuillard
1751.png,Les Charmes de la Vie (The Music Party) c. 1718 by Jean-Antoine Watteau
1755.png,Gathering in a Park 1718 by Jean-Antoine Watteau
1756.png,Venetian Pleasure 1718 by Jean-Antoine Watteau
1757.png,Embarkation for Cythera by Jean-Antoine Watteau
1758.png,Nymph and Satyr by Jean-Antoine Watteau
1759.png,Le Faux Pas by Jean-Antoine Watteau
1760.png,Rendez-vous de chasse by Jean-Antoine Watteau
1762.png,An elegant couple by a sculpted fountain by Jean-Antoine Watteau
1765.png,Spring by Jean-Antoine Watteau
1766.png,Party of Four 1713 by Jean-Antoine Watteau
1767.png,Italian Comedians c. 1720 by Jean-Antoine Watteau
1770.png,Merry Company in the Open Air 1716-19 by Jean-Antoine Watteau
1774.png,The garden party by Jean-Antoine Watteau
1777.png,The Dining Room 1887 by Paul Signac
1779.png,"Istanbul, 1907 by Paul Signac"
1791.png,"Chateau de Comblat, c.1887 by Paul Signac"
1798.png,"Woman on the Terrace, 1898 by Paul Signac"
1807.png,The Cholmondeley Family by William Hogarth
1809.png,Marriage a la Mode VI The Ladys Death by William Hogarth
1811.png,Falstaff Examining his Recruits from Henry IV by Shakespeare by William Hogarth
1814.png,Pit Ticket by William Hogarth
1821.png,The Enraged Musician 2 by William Hogarth
1823.png,The Beggars Opera by William Hogarth
1826.png,Sunset At Ivry 1873 by Armand Guillaumin
1827.png,"Saint--Julien-des-Chazes, Allier by Armand Guillaumin"
1829.png,Paris Quai De La Rapee by Armand Guillaumin
1836.png,Echo Rock by Armand Guillaumin
1839.png,Epinay Sur Orge by Armand Guillaumin
1843.png,"The Seine, 1867-68 by Armand Guillaumin"
1844.png,Madame Guillaumin Reading In The Garden by Armand Guillaumin
1845.png,Still Life With Flowers by Armand Guillaumin
1847.png,"Banks of the Creuse, Limousin, c.1912 by Armand Guillaumin"
1849.png,Village De Damiette by Armand Guillaumin
1878.png,The Plague of Ashdod - detail by Nicolas Poussin
1879.png,Dance to the Music of Time c. 1638 by Nicolas Poussin
1880.png,Baby Moses Saved from the River by Nicolas Poussin
1882.png,The Massacre of the Innocents by Nicolas Poussin
1892.png,The Nurture of Bacchus (detail) 1630-35 by Nicolas Poussin
1893.png,"Parnassus, 1626 by Nicolas Poussin"
1897.png,The Return of the Holy Family from Egypt by Nicolas Poussin
1899.png,Bacchic Scene c. 1627 by Nicolas Poussin
1903.png,"The Meteor of August 18, 1783, as seen from the East Angle of the North Terrace, Windsor Castle, 1783 by Paul Sandby"
1917.png,"The Iron Forge near Dolgelli and Barmouth in Merionethshire, from Twelve Views in Wales, 1776 by Paul Sandby"
1930.png,Garden At The Thuner Lake by August Macke
1966.png,Children playing at coach and horses by Charles Robert Leslie
1986.png,Londoners Gypsying 1820 by Charles Robert Leslie
2016.png,The Harrowing of Hell by (after) Hieronymus Bosch
2018.png,The Last Judgement by (after) Hieronymus Bosch
2020.png,Christ Expels The Money-Lenders From The Temple by (after) Hieronymus Bosch
2025.png,The Temptation Of St. Anthony by (after) Hieronymus Bosch
2044.png,The Timber Waggon 1872 by John Linnell
2046.png,The River Kennet near Newbury 1815 by John Linnell
2049.png,Lady Torrens and Her Family 1820 by John Linnell
2052.png,Harvesters 1855 by John Linnell
2066.png,The Harvest Cradle Noontide 1859 by John Linnell
2075.png,"Crucifixion, 1635 by Claudio Coello"
2128.png,The Ghent Altarpiece (wings open) 1432 by Jan Van Eyck
2143.png,Crucifixion 1420-25 by Jan Van Eyck
2154.png,American Mustangs by Rosa Bonheur
2162.png,Lion (The Look Out) by Rosa Bonheur
2164.png,Le Labourage 1844 by Rosa Bonheur
2172.png,Ploughing by Rosa Bonheur
2187.png,Kafferbuffel Sichernd (Buffalo On The Alert) by Wilhelm Kuhnert
2190.png,A Lioness and Her Cubs by Wilhelm Kuhnert
2198.png,Zebras in a Landscape by Wilhelm Kuhnert
2199.png,Deer in a Forest by Wilhelm Kuhnert
2203.png,A Midsummer Nights Dream by Sir Joseph Noel Paton
2238.png,The Maharashtrian Lady by Raja Ravi Varma
2262.png,La Jeunesse de Bacchus (The Youth of Bacchus) by William-Adolphe Bouguereau
2277.png,Algerian Girl Selling Pomegranates by William-Adolphe Bouguereau
2298.png,Dressing Up (Masquerade) by Carl Larsson
2302.png,The Kitchen by Carl Larsson
2306.png,Murre by Carl Larsson
2310.png,Flower Window by Carl Larsson
2311.png,Christmas Morning by Carl Larsson
2312.png,Shelling Peas by Carl Larsson
2317.png,Decorating the Tree (Julgranskonfekt) by Carl Larsson
2344.png,A Gathering of Friends 1640-42 by Eustache Le Sueur
2353.png,An Allegory of Magnificence by Eustache Le Sueur
2354.png,The Creation of the World by Eustache Le Sueur
2360.png,Cupid Ordering Mercury to Announce his Power to the Universe by Eustache Le Sueur
2365.png,Deposition by Eustache Le Sueur
2369.png,A Spanish Water Carrier (Toledo) by Robert Frederick Blum
2374.png,The Silk Merchant by Robert Frederick Blum
2375.png,The Picture Book by Robert Frederick Blum
2376.png,Portrait of a Lady by Robert Frederick Blum
2377.png,Venetian Street Scene by Robert Frederick Blum
2379.png,The Circus Performers by Robert Frederick Blum
2390.png,Reading the news by Robert Frederick Blum
2393.png,"Music-making Angels Playing The Harp, Flute, Viola And Lute by Theodor Van Thulden"
2399.png,The Death of Phaeton by Theodor Van Thulden
2434.png,Apple Blossoms and Blue and White Porcelain on a Table by Frans Mortelmans
2451.png,The Moss - Poolewe by Joseph Farquharson
2482.png,Boy and Goat by William Henry Hunt
2499.png,Allegory of Summer by Louis de Caullery
2504.png,A Palace Garden With Elegant Couples Dancing by Louis de Caullery
2516.png,"Group portrait of Louis XIII, Anne of Austria, and their son Louis XIV, flanked by Cardinal Richelieu and the Duchesse de Chevreuse by (after) Philippe De Champaigne"
2562.png,The Washing Of The Feet by (after) Harmenszoon Van Rijn Rembrandt
2569.png,Landscape With A Farm by (after) Harmenszoon Van Rijn Rembrandt
2583.png,Erzsebet Bathory (sketch) c 1893 by Istvan Csok
2592.png,Gipsies Making Trough 1903 by Istvan Csok
2611.png,"Charles I And Henrietta Maria With Their Two Eldest Children, Prince Charles And Princess Mary by (after) Dyck, Sir Anthony van"
2640.png,Les elegantes aux courses by Louis Anquetin
2655.png,The Smugglers Return by Sir David Wilkie
2659.png,"Sir David Baird (1757-1829) discovering the body of Tippoo Sultan (1744-99) after the capture of Seringapatam, 4 May 1799, from Illustrations of English and Scottish History Volume II by Sir David Wilkie"
2664.png,The Village Holiday by Sir David Wilkie
2670.png,"A Scene from the Gentle Shepherd, c.1823 by Sir David Wilkie"
2676.png,"A Tartar Messenger Narrating the News of the Victory of St. Jean DAcre, 1840 by Sir David Wilkie"
2681.png,Saladin I 1138-93 in Jerusalem by Alexandre Evariste Fragonard
2731.png,Bord de riviere au clair de lune by Charles-Francois Daubigny
2736.png,Landscape with Ducks by Charles-Francois Daubigny
2801.png,The Champagne by Gaston de La Touche
2803.png,The Relics by Gaston de La Touche
2806.png,The Last Supper by Gaston de La Touche
2807.png,The Fountain by Gaston de La Touche
2812.png,"The Mad Hatters Tea Party, illustration from Alice in Wonderland by Lewis Carroll 1832-9 by John Tenniel"
2825.png,Three Happy Family cards depicting characters from Alice in Wonderland by Lewis Carroll (1832-98) adapted by Emily Gertrude Thomson d.1932 early 20th century by John Tenniel
